subgroup,n,mean_wait,median_wait,P90,P95,urgent_breach_rate,same_day_rate,within_3d_rate,within_14d_rate,high_risk_same_day_share,run,seed,scenario,utilization
A,2628,0.1054033485540334,0.0,0.0,1.0,0.0015220700152207,0.9459665144596652,0.9946727549467276,0.9996194824961948,1.0,run_seed_318_hash_64beb8db,318,baseline,1.0
B,2048,0.03955078125,0.0,0.0,0.0,0.00146484375,0.9775390625,0.9970703125,1.0,1.0,run_seed_318_hash_64beb8db,318,baseline,1.0
A,2302,0.1190269331016507,0.0,0.0,1.0,0.0026064291920069,0.944396177237185,0.9904430929626412,1.0,1.0,run_seed_315_hash_e0cd5d01,315,baseline,1.1
B,1924,0.0722453222453222,0.0,0.0,0.0,0.0005197505197505,0.9584199584199584,0.9968814968814969,1.0,1.0,run_seed_315_hash_e0cd5d01,315,baseline,1.1
A,2044,0.1188845401174168,0.0,0.0,0.0,0.0029354207436399,0.9525440313111546,0.988747553816047,0.9995107632093934,1.0,run_seed_316_hash_e481da2f,316,baseline,1.2
B,1787,0.0794627867935086,0.0,0.0,0.0,0.0,0.961387800783436,0.9955232232792388,1.0,1.0,run_seed_316_hash_e481da2f,316,baseline,1.2
A,2343,0.1143832693128467,0.0,0.0,1.0,0.0029876227059325,0.9483568075117372,0.9910371318822024,1.0,1.0,run_seed_304_hash_e0cd5d01,304,baseline,1.1
B,1874,0.0848452508004268,0.0,0.0,0.0,0.0016008537886872,0.959445037353255,0.9930629669156884,1.0,1.0,run_seed_304_hash_e0cd5d01,304,baseline,1.1
A,2237,0.1122038444345105,0.0,0.0,0.1999999999998181,0.0017881090746535,0.9499329459097005,0.9901654000894056,1.0,1.0,run_seed_321_hash_e0cd5d01,321,baseline,1.1
B,1955,0.0726342710997442,0.0,0.0,0.0,0.0005115089514066,0.960613810741688,0.9959079283887468,1.0,1.0,run_seed_321_hash_e0cd5d01,321,baseline,1.1
A,2278,0.146180860403863,0.0,0.0,1.0,0.0021949078138718,0.9477611940298508,0.9868305531167691,0.9995610184372256,1.0,run_seed_329_hash_e0cd5d01,329,baseline,1.1
B,1907,0.1111693759832197,0.0,0.0,0.0,0.0031463030938647,0.9528054535920294,0.9921342422653382,1.0,1.0,run_seed_329_hash_e0cd5d01,329,baseline,1.1
A,2590,0.0899613899613899,0.0,0.0,0.0,0.0003861003861003,0.9548262548262548,0.993050193050193,1.0,1.0,run_seed_319_hash_64beb8db,319,baseline,1.0
B,2103,0.0328102710413694,0.0,0.0,0.0,0.0,0.978601997146933,0.9985734664764622,1.0,1.0,run_seed_319_hash_64beb8db,319,baseline,1.0
A,2277,0.144927536231884,0.0,0.0,1.0,0.0021958717610891,0.9398331137461572,0.9872639437856828,0.999560825647782,1.0,run_seed_312_hash_e0cd5d01,312,baseline,1.1
B,1946,0.0868448098663926,0.0,0.0,0.0,0.001027749229188,0.9609455292908532,0.9933196300102776,1.0,1.0,run_seed_312_hash_e0cd5d01,312,baseline,1.1
A,2650,0.1366037735849056,0.0,0.0,1.0,0.0018867924528301,0.939622641509434,0.9894339622641508,1.0,1.0,run_seed_329_hash_64beb8db,329,baseline,1.0
B,2039,0.0657184894556155,0.0,0.0,0.0,0.0009808729769494,0.967631191760667,0.9950956351152526,1.0,1.0,run_seed_329_hash_64beb8db,329,baseline,1.0
A,2099,0.0786088613625536,0.0,0.0,0.0,0.0,0.952834683182468,0.9966650786088612,1.0,1.0,run_seed_318_hash_e481da2f,318,baseline,1.2
B,1780,0.0814606741573033,0.0,0.0,0.0,0.0005617977528089,0.9595505617977528,0.994943820224719,1.0,1.0,run_seed_318_hash_e481da2f,318,baseline,1.2
A,2252,0.1523090586145648,0.0,0.0,1.0,0.0039964476021314,0.9404973357015984,0.9875666074600356,0.9991119005328596,1.0,run_seed_308_hash_e0cd5d01,308,baseline,1.1
B,1976,0.0819838056680161,0.0,0.0,0.0,0.0,0.9600202429149798,0.9944331983805668,1.0,1.0,run_seed_308_hash_e0cd5d01,308,baseline,1.1
A,2583,0.1107239643825009,0.0,0.0,0.0,0.0007742934572202,0.9578010065814944,0.9907084785133564,1.0,1.0,run_seed_326_hash_64beb8db,326,baseline,1.0
B,2094,0.0682903533906399,0.0,0.0,0.0,0.0014326647564469,0.9723018147086916,0.9928366762177652,1.0,1.0,run_seed_326_hash_64beb8db,326,baseline,1.0
A,2269,0.1643895989422653,0.0,0.0,1.0,0.005288673424416,0.9352137505509036,0.985456148082856,0.999559277214632,1.0,run_seed_301_hash_e0cd5d01,301,baseline,1.1
B,1946,0.0935251798561151,0.0,0.0,0.0,0.0015416238437821,0.9624871531346352,0.9933196300102776,0.998972250770812,1.0,run_seed_301_hash_e0cd5d01,301,baseline,1.1
A,2234,0.0890778871978513,0.0,0.0,0.0,0.0004476275738585,0.9521038495971352,0.995076096687556,1.0,1.0,run_seed_310_hash_e0cd5d01,310,baseline,1.1
B,1978,0.0717896865520728,0.0,0.0,0.0,0.0005055611729019,0.962082912032356,0.9954499494438828,1.0,1.0,run_seed_310_hash_e0cd5d01,310,baseline,1.1
A,2647,0.1288250850018889,0.0,0.0,1.0,0.0034000755572346,0.9467321496033244,0.988666414809218,1.0,1.0,run_seed_303_hash_64beb8db,303,baseline,1.0
B,2075,0.0544578313253012,0.0,0.0,0.0,0.0004819277108433,0.9730120481927712,0.9966265060240964,1.0,1.0,run_seed_303_hash_64beb8db,303,baseline,1.0
A,2244,0.1270053475935829,0.0,0.0,1.0,0.0008912655971479,0.9442959001782532,0.9884135472370766,1.0,1.0,run_seed_319_hash_e0cd5d01,319,baseline,1.1
B,2000,0.0795,0.0,0.0,0.0,0.002,0.963,0.9935,1.0,1.0,run_seed_319_hash_e0cd5d01,319,baseline,1.1
A,2705,0.1094269870609981,0.0,0.0,1.0,0.0014787430683918,0.9486136783733826,0.9929759704251386,1.0,1.0,run_seed_301_hash_64beb8db,301,baseline,1.0
B,2002,0.0724275724275724,0.0,0.0,0.0,0.0,0.9665334665334664,0.9945054945054944,1.0,1.0,run_seed_301_hash_64beb8db,301,baseline,1.0
A,2259,0.0880920761398849,0.0,0.0,0.0,0.0008853474988933,0.9544046038069942,0.9942452412571936,1.0,1.0,run_seed_317_hash_e0cd5d01,317,baseline,1.1
B,1925,0.0696103896103896,0.0,0.0,0.0,0.0005194805194805,0.9641558441558442,0.9948051948051948,1.0,1.0,run_seed_317_hash_e0cd5d01,317,baseline,1.1
A,2626,0.1321401370906321,0.0,0.0,1.0,0.0022848438690022,0.9413556740289414,0.9912414318354912,0.9996191926884996,1.0,run_seed_308_hash_64beb8db,308,baseline,1.0
B,2063,0.0513814832767813,0.0,0.0,0.0,0.0009694619486185,0.9723703344643724,0.9966068831798351,1.0,1.0,run_seed_308_hash_64beb8db,308,baseline,1.0
A,2243,0.1083370485956308,0.0,0.0,0.0,0.0022291573785109,0.9572001783325904,0.9897458760588498,1.0,1.0,run_seed_322_hash_e0cd5d01,322,baseline,1.1
B,1966,0.0712105798575788,0.0,0.0,0.0,0.0,0.963886063072228,0.9949135300101728,1.0,1.0,run_seed_322_hash_e0cd5d01,322,baseline,1.1
A,2664,0.1501501501501501,0.0,0.0,1.0,0.0033783783783783,0.9309309309309308,0.9898648648648648,1.0,1.0,run_seed_320_hash_64beb8db,320,baseline,1.0
B,2044,0.0660469667318982,0.0,0.0,0.0,0.0004892367906066,0.9691780821917808,0.9951076320939336,1.0,1.0,run_seed_320_hash_64beb8db,320,baseline,1.0
A,2606,0.1120491174213353,0.0,0.0,0.0,0.0023023791250959,0.9551036070606294,0.9907904834996164,1.0,1.0,run_seed_313_hash_64beb8db,313,baseline,1.0
B,2086,0.0632790028763183,0.0,0.0,0.0,0.0019175455417066,0.972195589645254,0.9942473633748802,1.0,1.0,run_seed_313_hash_64beb8db,313,baseline,1.0
A,2040,0.1078431372549019,0.0,0.0,1.0,0.0014705882352941,0.9485294117647058,0.9926470588235294,1.0,1.0,run_seed_302_hash_e481da2f,302,baseline,1.2
B,1807,0.0774764803541782,0.0,0.0,0.0,0.0,0.9645821804095184,0.9950193691200886,1.0,1.0,run_seed_302_hash_e481da2f,302,baseline,1.2
A,2578,0.1062839410395655,0.0,0.0,1.0,0.0011636927851047,0.9491854150504266,0.9918541505042668,1.0,1.0,run_seed_327_hash_64beb8db,327,baseline,1.0
B,2120,0.0693396226415094,0.0,0.0,0.0,0.0014150943396226,0.9665094339622642,0.994811320754717,1.0,1.0,run_seed_327_hash_64beb8db,327,baseline,1.0
A,2603,0.145985401459854,0.0,0.0,1.0,0.0026892047637341,0.93622742988859,0.9888590088359586,0.9992316557817904,1.0,run_seed_321_hash_64beb8db,321,baseline,1.0
B,2069,0.0720154664088931,0.0,0.0,0.0,0.0014499758337361,0.9623006283228612,0.9971000483325276,1.0,1.0,run_seed_321_hash_64beb8db,321,baseline,1.0
A,2262,0.1105216622458001,0.0,0.0,1.0,0.0013262599469496,0.9434129089301504,0.9907161803713528,1.0,1.0,run_seed_311_hash_e0cd5d01,311,baseline,1.1
B,1954,0.086489252814739,0.0,0.0,0.0,0.0005117707267144,0.9539406345957012,0.9938587512794268,1.0,1.0,run_seed_311_hash_e0cd5d01,311,baseline,1.1
A,2052,0.1228070175438596,0.0,0.0,1.0,0.0009746588693957,0.9454191033138402,0.9902534113060428,1.0,1.0,run_seed_322_hash_e481da2f,322,baseline,1.2
B,1777,0.0866629150253235,0.0,0.0,0.0,0.0028137310073157,0.9583567810917276,0.9938097917839056,1.0,1.0,run_seed_322_hash_e481da2f,322,baseline,1.2
A,2079,0.1192881192881192,0.0,0.0,0.0,0.0024050024050024,0.9523809523809524,0.9918229918229918,0.9990379990379992,1.0,run_seed_314_hash_e481da2f,314,baseline,1.2
B,1727,0.0671685002895194,0.0,0.0,0.0,0.0011580775911986,0.9681528662420382,0.9953676896352056,1.0,1.0,run_seed_314_hash_e481da2f,314,baseline,1.2
A,2315,0.1269978401727861,0.0,0.0,0.2999999999997271,0.0017278617710583,0.9498920086393088,0.9900647948164149,1.0,1.0,run_seed_325_hash_e0cd5d01,325,baseline,1.1
B,1927,0.0809548521017125,0.0,0.0,0.0,0.0010378827192527,0.9647119875454072,0.9953295277633628,0.9994810586403736,1.0,run_seed_325_hash_e0cd5d01,325,baseline,1.1
A,2082,0.100864553314121,0.0,0.0,0.0,0.0019212295869356,0.9548511047070124,0.9932756964457252,1.0,1.0,run_seed_312_hash_e481da2f,312,baseline,1.2
B,1768,0.0984162895927601,0.0,0.0,0.0,0.0016968325791855,0.9581447963800904,0.9915158371040724,1.0,1.0,run_seed_312_hash_e481da2f,312,baseline,1.2
A,2338,0.0893926432848588,0.0,0.0,0.0,0.0004277159965782,0.9542343883661248,0.9948674080410608,1.0,1.0,run_seed_306_hash_e0cd5d01,306,baseline,1.1
B,1864,0.0659871244635193,0.0,0.0,0.0,0.0010729613733905,0.9662017167381974,0.9967811158798284,1.0,1.0,run_seed_306_hash_e0cd5d01,306,baseline,1.1
A,2044,0.1188845401174168,0.0,0.0,1.0,0.0014677103718199,0.9427592954990216,0.9916829745596868,1.0,1.0,run_seed_301_hash_e481da2f,301,baseline,1.2
B,1778,0.1102362204724409,0.0,0.0,1.0,0.0022497187851518,0.9460067491563554,0.9943757030371204,1.0,1.0,run_seed_301_hash_e481da2f,301,baseline,1.2
A,2084,0.0978886756238003,0.0,0.0,1.0,0.0014395393474088,0.9481765834932822,0.9923224568138196,1.0,1.0,run_seed_330_hash_e481da2f,330,baseline,1.2
B,1780,0.0910112359550561,0.0,0.0,0.0,0.0022471910112359,0.956741573033708,0.9926966292134832,0.999438202247191,1.0,run_seed_330_hash_e481da2f,330,baseline,1.2
A,2650,0.0660377358490566,0.0,0.0,0.0,0.000754716981132,0.9686792452830189,0.9943396226415094,1.0,1.0,run_seed_325_hash_64beb8db,325,baseline,1.0
B,2044,0.0401174168297455,0.0,0.0,0.0,0.0004892367906066,0.978962818003914,0.9975538160469668,1.0,1.0,run_seed_325_hash_64beb8db,325,baseline,1.0
A,2656,0.09375,0.0,0.0,0.0,0.0011295180722891,0.954066265060241,0.9935993975903614,1.0,1.0,run_seed_315_hash_64beb8db,315,baseline,1.0
B,2021,0.0380999505195447,0.0,0.0,0.0,0.0004948045522018,0.98416625432954,0.9965363681345868,1.0,1.0,run_seed_315_hash_64beb8db,315,baseline,1.0
A,2585,0.1156673114119922,0.0,0.0,1.0,0.0027079303675048,0.9454545454545454,0.9914893617021276,0.999613152804642,1.0,run_seed_330_hash_64beb8db,330,baseline,1.0
B,2058,0.0471331389698736,0.0,0.0,0.0,0.0004859086491739,0.9732750242954324,0.9965986394557824,1.0,1.0,run_seed_330_hash_64beb8db,330,baseline,1.0
A,2276,0.117311072056239,0.0,0.0,1.0,0.0021968365553602,0.9490333919156416,0.9907732864674867,1.0,1.0,run_seed_307_hash_e0cd5d01,307,baseline,1.1
B,1941,0.0597630087583719,0.0,0.0,0.0,0.0025759917568263,0.9685729005667182,0.9953632148377124,1.0,1.0,run_seed_307_hash_e0cd5d01,307,baseline,1.1
A,2645,0.107750472589792,0.0,0.0,1.0,0.0022684310018903,0.9485822306238184,0.9928166351606804,1.0,1.0,run_seed_304_hash_64beb8db,304,baseline,1.0
B,2048,0.046875,0.0,0.0,0.0,0.0,0.97216796875,0.99755859375,1.0,1.0,run_seed_304_hash_64beb8db,304,baseline,1.0
A,2308,0.134315424610052,0.0,0.0,1.0,0.0012998266897746,0.9493067590987868,0.9900346620450606,0.9991334488734837,1.0,run_seed_313_hash_e0cd5d01,313,baseline,1.1
B,1939,0.1206807632800412,0.0,0.0,0.0,0.002578648788035,0.9556472408457968,0.9886539453326456,0.999484270242393,1.0,run_seed_313_hash_e0cd5d01,313,baseline,1.1
A,2669,0.1330086174597227,0.0,0.0,1.0,0.0033720494567253,0.941925814911952,0.9891345073061072,1.0,1.0,run_seed_306_hash_64beb8db,306,baseline,1.0
B,1987,0.0890790135883241,0.0,0.0,0.0,0.0,0.9597382989431305,0.995470558631102,0.9994967287367892,1.0,run_seed_306_hash_64beb8db,306,baseline,1.0
A,2053,0.1095957135898684,0.0,0.0,1.0,0.0014612761811982,0.9493424257184608,0.990745250852411,1.0,1.0,run_seed_313_hash_e481da2f,313,baseline,1.2
B,1791,0.096035734226689,0.0,0.0,0.0,0.0011166945840312,0.96035734226689,0.993858179787828,1.0,1.0,run_seed_313_hash_e481da2f,313,baseline,1.2
A,2648,0.084214501510574,0.0,0.0,0.0,0.0015105740181268,0.9652567975830816,0.994335347432024,0.9996223564954684,1.0,run_seed_317_hash_64beb8db,317,baseline,1.0
B,2028,0.0562130177514792,0.0,0.0,0.0,0.0004930966469428,0.9733727810650888,0.9965483234714004,1.0,1.0,run_seed_317_hash_64beb8db,317,baseline,1.0
A,2603,0.1421436803688052,0.0,0.0,1.0,0.0026892047637341,0.9446792162888974,0.9880906646177487,0.9992316557817904,1.0,run_seed_314_hash_64beb8db,314,baseline,1.0
B,2073,0.0607814761215629,0.0,0.0,0.0,0.0014471780028943,0.9715388326097444,0.9961408586589484,1.0,1.0,run_seed_314_hash_64beb8db,314,baseline,1.0
A,2639,0.0894278135657446,0.0,0.0,0.0,0.0015157256536566,0.9590754073512694,0.9928003031451308,1.0,1.0,run_seed_307_hash_64beb8db,307,baseline,1.0
B,2063,0.0460494425593795,0.0,0.0,0.0,0.0,0.9747939893359184,0.9975763451284536,1.0,1.0,run_seed_307_hash_64beb8db,307,baseline,1.0
A,2336,0.1125856164383561,0.0,0.0,1.0,0.0025684931506849,0.9426369863013698,0.9931506849315068,1.0,1.0,run_seed_309_hash_e0cd5d01,309,baseline,1.1
B,1856,0.0792025862068965,0.0,0.0,0.0,0.0,0.9595905172413792,0.9951508620689656,1.0,1.0,run_seed_309_hash_e0cd5d01,309,baseline,1.1
